Person name,ORCID,FER long name,FER np identifier,FER functionality Type,F1 identifier service,F2 metadata schema,F3 metadata-data linking schema,F4 registry,A1.1 communication protocol,A1.2 authorization and authentication service,A2 metadata preservation policy,I1 knowledge representation service,I2 structured vocabulary,I3 semantic model,R1.1 usage license,R1.2 provenance model,links work,definition ok,types ok,FAIRSharing DOI,nanopub fits,all checked,comments
Shuai Wang,0000-0002-1261-9930,Figshare,http://purl.org/np/RAxFCNuhATummgV6vm5IYRcAsR1xWSMjmIhAVotEV0hB0,Registry,,,,x,,,,,,,,,Yes:https://figshare.com/,Yes,Yes,,?,Yes,
Shuai Wang,0000-0002-1261-9930,BIBFrame 2.0,http://purl.org/np/RAuBubbociYvNsqiHudoQ6bt3RSPMBpgBB-I5Ep_VLJ0s,Metadata Schema,,x,,,,,,,,,,,Yes: https://www.loc.gov/bibframe/docs/bibframe2-model.html,Yes,Yes,,?,Yes,
Shuai Wang,0000-0002-1261-9930,TriplyDB,http://purl.org/np/RAQ4b06P9_1yecdse1rzkdQ94Kp0TKi4NJRUXp6nyVxIY,Registry,,,,x,,,,,,,,,Yes: https://triplydb.com/,Yes,Yes,,?,Yes,
Shuai Wang,0000-0002-1261-9930,QLIT,http://purl.org/np/RAd6t6NdoESOhEi4f2MC-yJ-l3ko8za5jjdrBVOdg6BMY,Semantic Model; Structured Vocabulary,,,,,,,,,,,,,Yes: https://queerlit.dh.gu.se/qlit/v1/,Yes,Yes,,?,Yes,
Shuai Wang,0000-0002-1261-9930,ESS Data Portal,http://purl.org/np/RAy7uFei0e2XdpG_Qyf_uQGdI6S9RNgpgy-kafI79Pzfw,Registry,,,,,,,,,,,,,Yes: https://ess-search.nsd.no/,Yes,Yes,,?,Yes,Wrong place for URL. https://ess-search.nsd.no/
Anne Fouilloux,0000-0002-1784-2920,ROR ,http://purl.org/np/RAFP-uWPTN5u2kPR8pYeIgdbwyP1_KYZgoogYIv0Wp-fQ#ROR,,x,,,,,,,,,,,,yes https://ror.org/,yes,Yes,https://doi.org/10.25504/FAIRsharing.1jKfji,Yes,Yes,
Anne Fouilloux,0000-0002-1784-2920,Research Object Crate,http://purl.org/np/RAoL8yweXQtkI0nrPZEFwx2ft8DebueFFjWd7rjZr9qOM#RO-Crate,,,x,,,,, ,,x,x,,,yes https://w3id.org/ro/crate,yes,,https://doi.org/10.25504/FAIRsharing.wUoZKE,,Yes,I think RO-Crate should be listed in other FAIR principles.
Anne Fouilloux,0000-0002-1784-2920,Zenodo,http://purl.org/np/RAQKRYjUrndhJAbsgnuhr1Z3DecqtWVl1qUTC2cPpyLDY#Zenodo,,,,,x,,,,,,,,,Yes zenodo.org,Yes,Yes,https://doi.org/10.25504/FAIRsharing.wy4egf,Yes,Yes,
Anne Fouilloux,0000-0002-1784-2920,DataCite DOI Policy,http://purl.org/np/RA4rdLbzwrBDZzdvLVophtrDEQVvevvzou3dihHRZzH4o#datacite-doi-policy,,,,,,,,x,,,,,,Yes https://support.datacite.org/docs/doi-basics,Yes,Yes,https://doi.org/10.25504/FAIRsharing.c06f1e,Yes,Yes,
Anne Fouilloux,0000-0002-1784-2920,I-ADOPT Framework,http://purl.org/np/RAUvojqASItOlIj5OnyXyz808nRsYrU4BCrDFU-ymuoUA#I-ADOPT,,,,,,,,,,,x,,,Yes https://rd-alliance.org/group/interoperable-descriptions-observable-property-terminology-wg-i-adopt-wg/outcomes,Yes,Yes,,Yes,,
Anne Fouilloux,0000-0002-1784-2920,MIT License,http://purl.org/np/RA24ysQcpWDzK6wHANkG_3F1HiTbgOO4ULjYxjaXDi8C4#MIT,Vocabulary,,,,,,,,,,,x,,Yes https://opensource.org/licenses/MIT,Yes,Yes,,Yes,Yes,
Juliana Menger,0000-0002-6968-8275,DEIMS ID,http://purl.org/np/RAT1egvL5VArd6XMPJXkOR8gelUy_3M-wgDu2Ax02P1gM,,x,,,,,,,,,,,,Yes: https://deims.org/docs/deimsid.html,Yes,Yes,https://doi.org/10.25504/FAIRsharing.SrP8P7,Yes,Yes,
Juliana Menger,0000-0002-6968-8275,DEIMS REST-API,http://purl.org/np/RAjwm4PxkZfZxR0q-ntQDUUt9f-_bubqyIsRJ1XzKNu84,,,,,,x,,,,,,,,Yes: https://deims.org/api,Yes,Yes,,,,
Juliana Menger,0000-0002-6968-8275,DEIMS Metadata Model,http://purl.org/np/RAktO6jJg-krEZKPkHe2rZrymGybzgM-EaS2mm1TTTh10,,,,,,,,,,,x,,,Yes: https://deims.org/models/?id=site,Yes,Yes,,Yes,Yes,other available link also works: https://raw.githubusercontent.com/stopopol/deims_apps/master/metadata_models/smm.json
Juliana Menger,0000-0002-6968-8275,Materials Cloud - Non-exclusive license to distribute 1.0,http://purl.org/np/RAXaR5LGsY8HSMMU-4BCA-jnlfpiyoE_miMdYpqfE_qmw,,,,,,,,,,,,x,,Yes: https://www.materialscloud.org/licenses/nonexclusive-distrib/1.0,No,Yes,,?,Yes,"This is a license granted by data producers to the repository, not a licence for data users. I found the definition short, but could not improve it by looking at the provided link. Though the FER type fits, I could not assure if this specific usage license is actually FAIR"
